"scaffold" "start" "end" "sites" "zero_four_ratio_Med" "zero_four_ratio_Afr"
"77" "chr02" 7600001 7700000 10397 0.0363636363636364 0.0414110429447853
"78" "chr02" 7700001 7800000 12050 0.0726577437858509 0.0677966101694915
"79" "chr02" 7800001 7900000 17840 0.0188679245283019 0.0147299509001637
"80" "chr02" 7900001 8000000 3816 0.044047619047619 0.0382387022016222
"81" "chr02" 8000001 8100000 7207 0.04642166344294 0.0448028673835125
"82" "chr02" 8100001 8200000 9655 0.0535714285714286 0.0550314465408805
"84" "chr02" 8300001 8400000 6403 0.015 0.01743264659271
"85" "chr02" 8400001 8500000 13289 0.0562248995983936 0.0614525139664805
"87" "chr02" 8600001 8700000 6334 0.0251677852348993 0.0257648953301127
"88" "chr02" 8700001 8800000 5705 0.0231065468549422 0.0205811138014528
"93" "chr02" 9200001 9300000 5410 0.0594202898550725 0.0711175616835994
"99" "chr02" 9800001 9900000 7728 0.0602409638554217 0.0578842315369261
"100" "chr02" 9900001 10000000 3983 0.0744827586206897 0.0752089136490251
"101" "chr02" 10000001 10100000 5751 0.0462962962962963 0.0422163588390501
"102" "chr02" 10100001 10200000 9270 0.0519835841313269 0.0545938748335553
"103" "chr02" 10200001 10300000 5304 0.0158959537572254 0.014265335235378
"104" "chr02" 10300001 10400000 11910 0.0870535714285714 0.0898876404494382
"105" "chr02" 10400001 10500000 8771 0.0678466076696165 0.0627615062761506
"106" "chr02" 10500001 10600000 9003 0.0509915014164306 0.0514603616133519
"107" "chr02" 10600001 10700000 7071 0.107692307692308 0.109433962264151
"108" "chr02" 10700001 10800000 8000 0.0865603644646925 0.0852017937219731
"351" "chr03" 3400001 3500000 8838 0.172972972972973 0.155555555555556
"361" "chr03" 3500001 3600000 11179 0.177685950413223 0.170833333333333
"371" "chr03" 3600001 3700000 5846 0.292358803986711 0.25
"381" "chr03" 3700001 3800000 6771 0.0715350223546945 0.0709010339734121
"391" "chr03" 3800001 3900000 9147 0.0569105691056911 0.0556745182012848
"411" "chr03" 4000001 4100000 5453 0.0950819672131148 0.0771812080536913
"42" "chr03" 4100001 4200000 12799 0.0760517799352751 0.0769230769230769
"43" "chr03" 4200001 4300000 13759 0.0232142857142857 0.0251798561151079
"44" "chr03" 4300001 4400000 8197 0.0271041369472183 0.0250696378830084
"45" "chr03" 4400001 4500000 8250 0.0520547945205479 0.0518417462482947
"46" "chr03" 4500001 4600000 6009 0.030379746835443 0.0242130750605327
"47" "chr03" 4600001 4700000 5355 0.0247718383311604 0.0278833967046895
"501" "chr03" 4900001 5000000 6877 0.0881863560732113 0.0854838709677419
"541" "chr03" 5300001 5400000 8201 0.0689655172413793 0.0598404255319149
"551" "chr03" 5400001 5500000 5996 0.0455284552845528 0.0488599348534202
"56" "chr03" 5500001 5600000 9951 0.022196261682243 0.0232288037166086
"57" "chr03" 5600001 5700000 5880 0.0554272517321016 0.0504385964912281
"581" "chr03" 5700001 5800000 7391 0.115015974440895 0.105442176870748
"591" "chr03" 5800001 5900000 7510 0.14968152866242 0.157190635451505
"601" "chr03" 5900001 6000000 13711 0.0295652173913043 0.0351493848857645
"621" "chr03" 6100001 6200000 4881 0.035377358490566 0.0465631929046563
"631" "chr03" 6200001 6300000 5148 0.0352760736196319 0.0371517027863777
"64" "chr03" 6300001 6400000 11566 0.0408163265306122 0.0431034482758621
"65" "chr03" 6400001 6500000 8259 0.0521739130434783 0.0458015267175573
"66" "chr03" 6500001 6600000 7870 0.0639344262295082 0.060781476121563
"671" "chr03" 6600001 6700000 8840 0.0822147651006711 0.0804416403785489
"691" "chr03" 6800001 6900000 10897 0.0526315789473684 0.0613718411552347
"71" "chr03" 7000001 7100000 9987 0.0436046511627907 0.0506666666666667
"741" "chr03" 7300001 7400000 5565 0.0883190883190883 0.0754716981132075
"761" "chr03" 7500001 7600000 10113 0.0368421052631579 0.036144578313253
"771" "chr03" 7600001 7700000 5991 0.199395770392749 0.195822454308094
"83" "chr03" 8200001 8300000 8712 0.127035830618893 0.115151515151515
"841" "chr03" 8300001 8400000 10590 0.0385542168674699 0.04
"851" "chr03" 8400001 8500000 4231 0.0452418096723869 0.0438472418670438
"86" "chr03" 8500001 8600000 9017 0.0470347648261759 0.0516898608349901
"871" "chr03" 8600001 8700000 5497 0.0847457627118644 0.0827586206896552
"881" "chr03" 8700001 8800000 5511 0.0378151260504202 0.0310077519379845
"89" "chr03" 8800001 8900000 16814 0.0780287474332649 0.083969465648855
"90" "chr03" 8900001 9000000 7856 0.0383561643835616 0.0435356200527704
"92" "chr03" 9100001 9200000 4958 0.046639231824417 0.0494791666666667
"931" "chr03" 9200001 9300000 11168 0.0736677115987461 0.0723981900452489
"94" "chr03" 9300001 9400000 6317 0.0609080841638981 0.0588235294117647
"96" "chr03" 9500001 9600000 5174 0.017688679245283 0.018539976825029
"991" "chr03" 9800001 9900000 7116 0.0439024390243902 0.0492845786963434
"1001" "chr03" 9900001 10000000 14019 0.038860103626943 0.0339425587467363
"1011" "chr03" 10000001 10100000 16062 0.0644391408114559 0.0573394495412844
"1021" "chr03" 10100001 10200000 13083 0.0579710144927536 0.0597701149425287
"1031" "chr03" 10200001 10300000 12701 0.0496277915632754 0.0447058823529412
"1041" "chr03" 10300001 10400000 5530 0.079646017699115 0.0716803760282021
"1051" "chr03" 10400001 10500000 7521 0.0580847723704867 0.0619195046439628
"1061" "chr03" 10500001 10600000 9695 0.0534979423868313 0.05
"1071" "chr03" 10600001 10700000 10913 0.0192962542565267 0.0189520624303233
"110" "chr03" 10900001 11000000 6441 0.0782208588957055 0.0824742268041237
"111" "chr03" 11000001 11100000 11245 0.116465863453815 0.114209827357238
"112" "chr03" 11100001 11200000 9251 0.0393474088291747 0.0357478833490122
"113" "chr03" 11200001 11300000 13601 0.0524017467248908 0.0516528925619835
"114" "chr03" 11300001 11400000 6127 0.0568720379146919 0.0610687022900763
"115" "chr03" 11400001 11500000 7698 0.135278514588859 0.142061281337047
"116" "chr03" 11500001 11600000 6679 0.0715249662618084 0.0715197956577267
"117" "chr03" 11600001 11700000 10523 0.0897755610972569 0.0944309927360775
"118" "chr03" 11700001 11800000 7160 0.037147102526003 0.0328571428571429
"124" "chr03" 12300001 12400000 4876 0.133786848072562 0.0933333333333333
"125" "chr03" 12400001 12500000 15442 0.045360824742268 0.0475161987041037
"126" "chr03" 12500001 12600000 7250 0.0287425149700599 0.029585798816568
"127" "chr03" 12600001 12700000 9907 0.0524412296564195 0.056390977443609
"128" "chr03" 12700001 12800000 8266 0.0359897172236504 0.0314861460957179
"129" "chr03" 12800001 12900000 6148 0.0393162393162393 0.0305343511450382
"153" "chr03" 15200001 15300000 6889 0.246478873239437 0.235294117647059
"154" "chr03" 15300001 15400000 5258 0.525862068965517 0.472868217054264
"11" "chr04" 1000001 1100000 3768 0.263414634146341 0.291208791208791
"1210" "chr04" 1100001 1200000 10867 0.252032520325203 0.261224489795918
"131" "chr04" 1200001 1300000 7594 0.0873983739837398 0.0891472868217054
"141" "chr04" 1300001 1400000 7787 0.0786026200873362 0.080082135523614
"251" "chr04" 2400001 2500000 12556 0.0495662949194548 0.0492610837438424
"291" "chr04" 2800001 2900000 9338 0.0360551431601273 0.0368159203980099
"301" "chr04" 2900001 3000000 5222 0.0417090539165819 0.0339449541284404
"311" "chr04" 3000001 3100000 6620 0.0592105263157895 0.059720457433291
"321" "chr04" 3100001 3200000 7906 0.0309633027522936 0.0277777777777778
"51" "chr04" 5000001 5100000 4749 0.0551558752997602 0.0484848484848485
"52" "chr04" 5100001 5200000 5039 0.0389447236180904 0.0368421052631579
"592" "chr04" 5800001 5900000 8313 0.0743944636678201 0.0613636363636364
"641" "chr04" 6300001 6400000 11326 0.075885328836425 0.0538461538461538
"651" "chr04" 6400001 6500000 11229 0.143079315707621 0.140909090909091
"661" "chr04" 6500001 6600000 9502 0.0187376725838264 0.0166468489892985
"672" "chr04" 6600001 6700000 5101 0.070855614973262 0.0685131195335277
"681" "chr04" 6700001 6800000 4373 0.0480427046263345 0.0509977827050998
"692" "chr04" 6800001 6900000 9331 0.0597014925373134 0.055045871559633
"72" "chr04" 7100001 7200000 7944 0.0486223662884927 0.0410958904109589
"73" "chr04" 7200001 7300000 8632 0.0367775831873905 0.0292134831460674
"742" "chr04" 7300001 7400000 12634 0.0507075471698113 0.0576671035386632
"751" "chr04" 7400001 7500000 10756 0.0716253443526171 0.0775716694772344
"791" "chr04" 7800001 7900000 14736 0.0373626373626374 0.049618320610687
"801" "chr04" 7900001 8000000 11915 0.0660919540229885 0.0630630630630631
"811" "chr04" 8000001 8100000 5865 0.0464396284829721 0.0427098674521355
"821" "chr04" 8100001 8200000 9169 0.0663329161451815 0.0691244239631336
"831" "chr04" 8200001 8300000 5788 0.0273396424815983 0.0239043824701195
"861" "chr04" 8500001 8600000 5796 0.0629274965800274 0.0504201680672269
"872" "chr04" 8600001 8700000 14613 0.0314547837483617 0.0342205323193916
"882" "chr04" 8700001 8800000 4446 0.032181168057211 0.0328638497652582
"91" "chr04" 9000001 9100000 11961 0.0652818991097923 0.0591549295774648
"941" "chr04" 9300001 9400000 9579 0.0538336052202284 0.0514469453376206
"961" "chr04" 9500001 9600000 5048 0.405857740585774 0.333333333333333
"98" "chr04" 9700001 9800000 4932 0.0340479192938209 0.0348692403486924
"1012" "chr04" 10000001 10100000 6025 0.113636363636364 0.114570361145704
"1032" "chr04" 10200001 10300000 9686 0.115141955835962 0.111791730474732
"1121" "chr04" 11100001 11200000 8678 0.0278745644599303 0.031390134529148
"1161" "chr04" 11500001 11600000 8654 0.0377697841726619 0.0404929577464789
"1181" "chr04" 11700001 11800000 6649 0.0361702127659574 0.0382571732199787
"121" "chr04" 12000001 12100000 24533 0.0962199312714777 0.092436974789916
"122" "chr04" 12100001 12200000 14780 0.029038112522686 0.0299823633156966
"123" "chr04" 12200001 12300000 12133 0.101237345331834 0.102813852813853
"1241" "chr04" 12300001 12400000 7934 0.0438472418670438 0.0423131170662905
"1251" "chr04" 12400001 12500000 8777 0.0870098039215686 0.0939024390243902
"1261" "chr04" 12500001 12600000 5633 0.228643216080402 0.234338747099768
"1281" "chr04" 12700001 12800000 3358 0.593939393939394 0.645161290322581
"1211" "chr05" 1100001 1200000 4368 0.119842829076621 0.122529644268775
"132" "chr05" 1200001 1300000 4578 0.0873563218390805 0.0759637188208617
"252" "chr05" 2400001 2500000 4743 0.0685314685314685 0.0692913385826772
"341" "chr05" 3300001 3400000 7524 0.0961538461538461 0.0891938250428816
"352" "chr05" 3400001 3500000 5375 0.0249632892804699 0.0210970464135021
"362" "chr05" 3500001 3600000 7990 0.0317073170731707 0.0318021201413428
"372" "chr05" 3600001 3700000 6999 0.0170648464163823 0.0161290322580645
"382" "chr05" 3700001 3800000 5444 0.062200956937799 0.0556368960468521
"421" "chr05" 4100001 4200000 4473 0.135869565217391 0.141689373297003
"441" "chr05" 4300001 4400000 6497 0.135838150289017 0.159779614325069
"471" "chr05" 4600001 4700000 4677 0.0326086956521739 0.0234986945169713
"552" "chr05" 5400001 5500000 5203 0.21602787456446 0.184615384615385
"61" "chr05" 6000001 6100000 4032 0.0635514018691589 0.0602150537634409
"622" "chr05" 6100001 6200000 9396 0.0421686746987952 0.0375
"632" "chr05" 6200001 6300000 10200 0.0171673819742489 0.0174717368961973
"682" "chr05" 6700001 6800000 5328 0.0602409638554217 0.0714285714285714
"721" "chr05" 7100001 7200000 6708 0.215425531914894 0.222811671087533
"802" "chr05" 7900001 8000000 13231 0.0772626931567329 0.0767634854771784
"812" "chr05" 8000001 8100000 6387 0.0879120879120879 0.0954446854663774
"901" "chr05" 8900001 9000000 8164 0.0799059929494712 0.0816326530612245
"911" "chr05" 9000001 9100000 5152 0.0388349514563107 0.0376670716889429
"962" "chr05" 9500001 9600000 6211 0.0423357664233577 0.0316804407713499
"97" "chr05" 9600001 9700000 7816 0.0388489208633093 0.0408472012102874
"992" "chr05" 9800001 9900000 8560 0.0828729281767956 0.0874524714828897
"1072" "chr05" 10600001 10700000 8907 0.0515759312320917 0.0510879848628193
"1081" "chr05" 10700001 10800000 8898 0.124223602484472 0.122448979591837
"109" "chr05" 10800001 10900000 13157 0.0418562329390355 0.045004500450045
"1101" "chr05" 10900001 11000000 6028 0.0339147286821705 0.0308810172570391
"1111" "chr05" 11000001 11100000 10678 0.0361570247933884 0.0328185328185328
"1122" "chr05" 11100001 11200000 3886 0.031413612565445 0.0255427841634738
"1141" "chr05" 11300001 11400000 4249 0.0650623885918004 0.0630705394190871
"1151" "chr05" 11400001 11500000 4589 0.0593505039193729 0.0518518518518519
"1162" "chr05" 11500001 11600000 6735 0.0993265993265993 0.0954616588419405
"1171" "chr05" 11600001 11700000 7404 0.045353982300885 0.0506198347107438
"1182" "chr05" 11700001 11800000 7633 0.0942408376963351 0.0914948453608248
"119" "chr05" 11800001 11900000 8698 0.127272727272727 0.107344632768362
"120" "chr05" 11900001 12000000 4627 0.254237288135593 0.213114754098361
"133" "chr06" 1200001 1300000 6318 0.165354330708661 0.19047619047619
"16" "chr06" 1500001 1600000 4438 0.0696864111498258 0.0746812386156648
"171" "chr06" 1600001 1700000 4842 0.0895705521472393 0.0901234567901235
"181" "chr06" 1700001 1800000 8129 0.0391730141458107 0.0403135498320269
"191" "chr06" 1800001 1900000 14761 0.0653008962868118 0.0608187134502924
"201" "chr06" 1900001 2000000 9209 0.0514705882352941 0.0509259259259259
"211" "chr06" 2000001 2100000 7642 0.0881188118811881 0.0872037914691943
"221" "chr06" 2100001 2200000 9195 0.0593080724876442 0.0595813204508857
"231" "chr06" 2200001 2300000 9928 0.0949720670391062 0.0850277264325323
"26" "chr06" 2500001 2600000 5404 0.237918215613383 0.177083333333333
"271" "chr06" 2600001 2700000 4802 0.0288335517693316 0.0311720698254364
"281" "chr06" 2700001 2800000 7467 0.181992337164751 0.164835164835165
"292" "chr06" 2800001 2900000 11140 0.0623556581986143 0.0584343991179713
"322" "chr06" 3100001 3200000 4783 0.0566666666666667 0.0545746388443018
"331" "chr06" 3200001 3300000 8591 0.0552631578947368 0.0510948905109489
"342" "chr06" 3300001 3400000 10242 0.0649350649350649 0.0603674540682415
"353" "chr06" 3400001 3500000 4620 0.108235294117647 0.1019955654102
"363" "chr06" 3500001 3600000 4340 0.114832535885167 0.115562403697997
"373" "chr06" 3600001 3700000 9517 0.0371621621621622 0.0460122699386503
"383" "chr06" 3700001 3800000 6912 0.194117647058824 0.214689265536723
"412" "chr06" 4000001 4100000 10158 0.177874186550976 0.190582959641256
"422" "chr06" 4100001 4200000 6104 0.0599571734475375 0.0572687224669603
"442" "chr06" 4300001 4400000 6191 0.0683371298405467 0.0709219858156028
"451" "chr06" 4400001 4500000 8255 0.0965092402464066 0.0863157894736842
"461" "chr06" 4500001 4600000 7893 0.0841121495327103 0.076271186440678
"511" "chr06" 5000001 5100000 7948 0.0837320574162679 0.0839160839160839
"521" "chr06" 5100001 5200000 11580 0.0583756345177665 0.0656565656565656
"531" "chr06" 5200001 5300000 11480 0.0481927710843373 0.0462962962962963
"542" "chr06" 5300001 5400000 4151 0.346938775510204 0.360975609756098
"553" "chr06" 5400001 5500000 4371 0.0457516339869281 0.0306748466257669
"593" "chr06" 5800001 5900000 7731 0.0978260869565217 0.0978260869565217
"602" "chr06" 5900001 6000000 3867 0.0613810741687979 0.0537897310513447
"611" "chr06" 6000001 6100000 5905 0.139705882352941 0.106690777576854
"623" "chr06" 6100001 6200000 6365 0.054481546572935 0.0569514237855946
"642" "chr06" 6300001 6400000 9565 0.0603015075376884 0.0548302872062663
"652" "chr06" 6400001 6500000 10526 0.0586907449209932 0.0533049040511727
"662" "chr06" 6500001 6600000 5984 0.0523560209424084 0.0531645569620253
"673" "chr06" 6600001 6700000 13850 0.0499108734402852 0.051056338028169
"683" "chr06" 6700001 6800000 4039 0.0702479338842975 0.0688405797101449
"70" "chr06" 6900001 7000000 5533 0.108262108262108 0.08274231678487
"711" "chr06" 7000001 7100000 9761 0.0392156862745098 0.04
"722" "chr06" 7100001 7200000 8025 0.0532407407407407 0.0588235294117647
"731" "chr06" 7200001 7300000 7924 0.0358851674641148 0.0311750599520384
"772" "chr06" 7600001 7700000 11309 0.0152091254752852 0.018450184501845
"813" "chr06" 8000001 8100000 4446 0.0551876379690949 0.0591966173361522
"822" "chr06" 8100001 8200000 13956 0.0576652601969058 0.0548523206751055
"832" "chr06" 8200001 8300000 7063 0.0704419889502762 0.0731382978723404
"842" "chr06" 8300001 8400000 9250 0.0603829160530191 0.056980056980057
"852" "chr06" 8400001 8500000 9917 0.068421052631579 0.0697050938337802
"862" "chr06" 8500001 8600000 11805 0.0642458100558659 0.0631868131868132
"873" "chr06" 8600001 8700000 6511 0.0307692307692308 0.0278884462151394
"883" "chr06" 8700001 8800000 9063 0.0400500625782228 0.0406607369758577
"891" "chr06" 8800001 8900000 6737 0.101359703337454 0.108043217286915
"902" "chr06" 8900001 9000000 6416 0.0420918367346939 0.0443599493029151
"912" "chr06" 9000001 9100000 7515 0.0449293966623877 0.0495662949194548
"921" "chr06" 9100001 9200000 9871 0.0387481371087928 0.0406015037593985
"95" "chr06" 9400001 9500000 5456 0.0583941605839416 0.0580204778156997
"963" "chr06" 9500001 9600000 9128 0.0125628140703518 0.0132211538461538
"971" "chr06" 9600001 9700000 5639 0.080952380952381 0.0802469135802469
"981" "chr06" 9700001 9800000 5498 0.0434782608695652 0.0401948842874543
"1013" "chr06" 10000001 10100000 4165 0.0434782608695652 0.0384615384615385
"1033" "chr06" 10200001 10300000 10045 0.082670906200318 0.0740740740740741
"1052" "chr06" 10400001 10500000 8363 0.0455665024630542 0.0477987421383648
"1082" "chr06" 10700001 10800000 11054 0.0407608695652174 0.0432020330368488
"1102" "chr06" 10900001 11000000 6573 0.0373563218390805 0.0383036935704514
"1131" "chr06" 11200001 11300000 3478 0.0240641711229947 0.032967032967033
"1142" "chr06" 11300001 11400000 6397 0.0574712643678161 0.0524344569288389
"510" "chr07" 400001 500000 8592 0.291866028708134 0.246575342465753
"610" "chr07" 500001 600000 6805 0.177480916030534 0.165261382799325
"710" "chr07" 600001 700000 4671 0.09375 0.0776859504132231
"9" "chr07" 800001 900000 12103 0.119918699186992 0.1237721021611
"10" "chr07" 900001 1000000 4621 0.0936768149882904 0.0919037199124726
"192" "chr07" 1800001 1900000 6870 0.0407523510971787 0.0268741159830269
"202" "chr07" 1900001 2000000 5602 0.0607533414337789 0.0526315789473684
"222" "chr07" 2100001 2200000 4989 0.0294759825327511 0.011090573012939
"232" "chr07" 2200001 2300000 5995 0.140808344198175 0.112612612612613
"24" "chr07" 2300001 2400000 4549 0.087962962962963 0.0751748251748252
"253" "chr07" 2400001 2500000 11070 0.126984126984127 0.138413685847589
"261" "chr07" 2500001 2600000 9871 0.0309523809523809 0.0307941653160454
"282" "chr07" 2700001 2800000 4841 0.0467196819085487 0.0335051546391753
"293" "chr07" 2800001 2900000 10861 0.121387283236994 0.0753968253968254
"302" "chr07" 2900001 3000000 7220 0.0899053627760252 0.0875
"312" "chr07" 3000001 3100000 6428 0.077175697865353 0.0783034257748776
"354" "chr07" 3400001 3500000 4945 0.0273159144893112 0.0278745644599303
"392" "chr07" 3800001 3900000 7863 0.0587326120556414 0.0598802395209581
"401" "chr07" 3900001 4000000 14829 0.096958174904943 0.101289134438306
"413" "chr07" 4000001 4100000 9759 0.0579345088161209 0.0577617328519856
"431" "chr07" 4200001 4300000 9020 0.0608187134502924 0.0450867052023121
"443" "chr07" 4300001 4400000 8329 0.0898617511520737 0.074468085106383
"512" "chr07" 5000001 5100000 10824 0.0579268292682927 0.0635964912280702
"543" "chr07" 5300001 5400000 4975 0.0556291390728477 0.0568383658969805
"554" "chr07" 5400001 5500000 8827 0.0508474576271186 0.0512820512820513
"561" "chr07" 5500001 5600000 6062 0.154135338345865 0.169665809768638
"594" "chr07" 5800001 5900000 5495 0.0766823161189358 0.0857740585774059
"603" "chr07" 5900001 6000000 11105 0.0799112097669256 0.092436974789916
"612" "chr07" 6000001 6100000 9182 0.0324763193504736 0.0277777777777778
"653" "chr07" 6400001 6500000 6877 0.027536231884058 0.0374449339207048
"712" "chr07" 7000001 7100000 7092 0.0355731225296443 0.0383561643835616
"732" "chr07" 7200001 7300000 4031 0.119617224880383 0.116710875331565
"743" "chr07" 7300001 7400000 8441 0.149882903981265 0.153191489361702
"843" "chr07" 8300001 8400000 7171 0.0839328537170264 0.08
"932" "chr07" 9200001 9300000 7018 0.0382352941176471 0.0296495956873315
"982" "chr07" 9700001 9800000 6053 0.0510948905109489 0.0624113475177305
"993" "chr07" 9800001 9900000 9026 0.214601769911504 0.22075055187638
"1002" "chr07" 9900001 10000000 7825 0.115463917525773 0.106690777576854
"1022" "chr07" 10100001 10200000 11557 0.123655913978495 0.134259259259259
"1212" "chr08" 1100001 1200000 6257 0.284263959390863 0.287878787878788
"15" "chr08" 1400001 1500000 8387 0.0619946091644205 0.0706521739130435
"161" "chr08" 1500001 1600000 9152 0.0944527736131934 0.0888575458392102
"172" "chr08" 1600001 1700000 6221 0.118556701030928 0.126009693053312
"241" "chr08" 2300001 2400000 14109 0.0491159135559921 0.042830540037244
"254" "chr08" 2400001 2500000 7496 0.0717703349282297 0.0827250608272506
"272" "chr08" 2600001 2700000 4588 0.0589887640449438 0.0548926014319809
"332" "chr08" 3200001 3300000 5052 0.117073170731707 0.155555555555556
"343" "chr08" 3300001 3400000 5426 0.0463121783876501 0.0486223662884927
"384" "chr08" 3700001 3800000 9211 0.0411522633744856 0.0385674931129477
"402" "chr08" 3900001 4000000 5219 0.0328227571115974 0.0313152400835073
"414" "chr08" 4000001 4100000 5686 0.0701107011070111 0.0610169491525424
"452" "chr08" 4400001 4500000 8310 0.0419753086419753 0.0419501133786848
"513" "chr08" 5000001 5100000 4656 0.23546511627907 0.210659898477157
"522" "chr08" 5100001 5200000 6281 0.0291479820627803 0.0314465408805031
"532" "chr08" 5200001 5300000 14231 0.0727969348659004 0.0692588092345079
"544" "chr08" 5300001 5400000 5186 0.0362204724409449 0.0392441860465116
"624" "chr08" 6100001 6200000 9786 0.0258899676375405 0.0274636510500808
"643" "chr08" 6300001 6400000 8068 0.0509666080843585 0.0516666666666667
"654" "chr08" 6400001 6500000 8668 0.0733410942956927 0.0734149054505006
"663" "chr08" 6500001 6600000 8249 0.0413333333333333 0.0469543147208122
"674" "chr08" 6600001 6700000 16596 0.0417209908735332 0.0477987421383648
"684" "chr08" 6700001 6800000 12234 0.0711462450592885 0.0724832214765101
"701" "chr08" 6900001 7000000 4970 0.0696055684454756 0.070362473347548
"713" "chr08" 7000001 7100000 6674 0.0378310214375788 0.0360144057623049
"723" "chr08" 7100001 7200000 8681 0.0853932584269663 0.0825190010857763
"733" "chr08" 7200001 7300000 7869 0.0207100591715976 0.0178394449950446
"744" "chr08" 7300001 7400000 11752 0.032979976442874 0.0335260115606936
"752" "chr08" 7400001 7500000 11707 0.106418918918919 0.109028960817717
"773" "chr08" 7600001 7700000 9129 0.226950354609929 0.224137931034483
"792" "chr08" 7800001 7900000 5942 0.0609756097560976 0.0709677419354839
"814" "chr08" 8000001 8100000 4750 0.0883720930232558 0.0863453815261044
"833" "chr08" 8200001 8300000 6835 0.0599369085173502 0.0589198036006547
"892" "chr08" 8800001 8900000 12659 0.0935251798561151 0.0853242320819113
"903" "chr08" 8900001 9000000 4562 0.0263157894736842 0.0269461077844311
"913" "chr08" 9000001 9100000 6383 0.04047976011994 0.0411347517730496
"972" "chr08" 9600001 9700000 11125 0.051413881748072 0.0434782608695652
"983" "chr08" 9700001 9800000 3814 0.142857142857143 0.160852713178295
"1003" "chr08" 9900001 10000000 4681 0.0256410256410256 0.0285714285714286
"1023" "chr08" 10100001 10200000 4077 0.0277469478357381 0.0353356890459364
"1034" "chr08" 10200001 10300000 5236 0.0496969696969697 0.0502450980392157
"1042" "chr08" 10300001 10400000 8748 0.04296875 0.0419103313840156
"1062" "chr08" 10500001 10600000 7013 0.0482456140350877 0.0433839479392625
"1091" "chr08" 10800001 10900000 8949 0.0665938864628821 0.0646506777893639
"1103" "chr08" 10900001 11000000 6481 0.05 0.0411826821541711
